task,MTL_AUC,STL_AUC
ames,0.8278161208492355,0.8870390261367704
bbb_martins,0.8444519209202475,0.8888141241308597
bioavailability_ma,0.695906432748538,0.7140350877192984
cyp2c9_substrate_carbonmangels,0.6086881273797161,0.6396677050882659
cyp2c9_veith,0.8635525408508523,0.8749256441564135
cyp2d6_substrate_carbonmangels,0.7286527514231499,0.7409867172675522
cyp2d6_veith,0.8130319434433896,0.8407543437255593
cyp3a4_substrate_carbonmangels,0.6070394297170861,0.5836489195811985
cyp3a4_veith,0.8362828465432031,0.8626428696968649
dili,0.8087322695035462,0.8781028368794326
hERG_Karim,0.825058998339306,0.8979563838249953
hia_hou,0.9614758545849159,0.9533369506239826
pgp_broccatelli,0.9027077874084526,0.9307935228112612
