task,MTL_AUC,STL_AUC
ames,0.8699322394131225,0.8937874701952451
bbb_martins,0.8224710820596622,0.8823576532410522
bioavailability_ma,0.6837719298245614,0.6071637426900586
cyp2c9_substrate_carbonmangels,0.6611284181377639,0.6874350986500519
cyp2c9_veith,0.8661884984586673,0.880610668603164
cyp2d6_substrate_carbonmangels,0.6987666034155597,0.6774193548387096
cyp2d6_veith,0.8331873284362589,0.8472579513564079
cyp3a4_substrate_carbonmangels,0.5840944531075963,0.6680775228335932
cyp3a4_veith,0.8514318015408179,0.8726596106357554
dili,0.8195921985815603,0.8386524822695035
hERG_Karim,0.871681516287746,0.8938790536810206
hia_hou,0.8963646228974498,0.8990775908844276
pgp_broccatelli,0.9113753947456831,0.9055297990996439
