task,MTL_AUC,STL_AUC
ames,0.8513228359652931,0.8973764197728362
bbb_martins,0.8369380627383127,0.8900637636579191
bioavailability_ma,0.6482456140350876,0.7289473684210527
cyp2c9_substrate_carbonmangels,0.6368985808238145,0.6334371754932502
cyp2c9_veith,0.8588876900321553,0.8856008143062553
cyp2d6_substrate_carbonmangels,0.7582226438962683,0.7482605945604047
cyp2d6_veith,0.8259979450689322,0.8509686162952967
cyp3a4_substrate_carbonmangels,0.6308754733793718,0.6032523947427043
cyp3a4_veith,0.8576307669548661,0.8770901574544001
dili,0.8023049645390071,0.8829787234042554
hERG_Karim,0.8738326184198735,0.9099452446730004
hia_hou,0.9294628323385785,0.9652740097666848
pgp_broccatelli,0.9246791641470133,0.9249479271652219
