task,MTL_AUC,STL_AUC
ames,0.8561515871746235,0.9068758522445933
bbb_martins,0.836361306033516,0.9032170207311992
bioavailability_ma,0.6970760233918128,0.6798245614035088
cyp2c9_substrate_carbonmangels,0.7104534440983038,0.6680512287988923
cyp2c9_veith,0.8686442457549399,0.9016807665963389
cyp2d6_substrate_carbonmangels,0.6778937381404175,0.6707779886148008
cyp2d6_veith,0.8493780574767287,0.8670404967105768
cyp3a4_substrate_carbonmangels,0.5774114502116284,0.6306527066161729
cyp3a4_veith,0.8579605641296034,0.8980017412747952
dili,0.7400265957446808,0.8803191489361704
hERG_Karim,0.8752836511812392,0.9082787421211078
hia_hou,0.963646228974498,0.9641888225718936
pgp_broccatelli,0.89783645770342,0.9296512799838742
