task,MTL_AUC,STL_AUC
ames,0.8206058459217953,0.888271209939743
bbb_martins,0.8667852222115415,0.8861386138613863
bioavailability_ma,0.6728070175438596,0.6833333333333333
cyp2c9_substrate_carbonmangels,0.5965732087227414,0.6330910349601939
cyp2c9_veith,0.8462176070055994,0.8760970111814391
cyp2d6_substrate_carbonmangels,0.6635041113219481,0.6363061353573688
cyp2d6_veith,0.813563407658452,0.8344845995184713
cyp3a4_substrate_carbonmangels,0.5979059924259301,0.585208286923591
cyp3a4_veith,0.8251620315234525,0.860062172874793
dili,0.7994237588652481,0.8856382978723404
hERG_Karim,0.7927767002751596,0.88203430035659
hia_hou,0.9652740097666848,0.9148128052088986
pgp_broccatelli,0.9211180541557482,0.9244104011288047
