Mode,Task,Metric,MTL_mean,STL_mean,p_value
A,Caco2_Wang,RMSE,0.5420070504789074,0.521978669394082,0.26939734458580517
A,Caco2_Wang,R2,0.5133872320317034,0.5487872583898377,0.27240774120705985
A,Lipophilicity_AstraZeneca,RMSE,0.8855161431913094,0.9958371645493784,0.012855657646713361
A,Lipophilicity_AstraZeneca,R2,0.45798246586294344,0.3145172053409836,0.012744099430190446
A,Solubility_AqSolDB,RMSE,1.4425350835462543,1.6778790809443491,0.014427732870775142
A,Solubility_AqSolDB,R2,0.6288897048187612,0.4978999438448235,0.02025994305001919
A,BBB_Martins,AUROC,0.8871757577715476,0.8972885577031349,0.4136377112124971
B,Caco2_Wang,RMSE,0.5095050635548363,0.4816754001593466,0.07261146875478662
B,Caco2_Wang,R2,0.5700885367645505,0.6157714154916458,0.07279931486617508
B,Lipophilicity_AstraZeneca,RMSE,1.0121976361495126,0.9758618647651267,0.14026275136458274
B,Lipophilicity_AstraZeneca,R2,0.29159852639239325,0.3412903898174662,0.1276887175013258
B,Solubility_AqSolDB,RMSE,1.378397170083461,1.2699282454705976,0.12848804103070632
B,Solubility_AqSolDB,R2,0.6611061412246968,0.7124042319427885,0.13248412054107792
B,BBB_Martins,AUROC,0.8635592119806852,0.8689942785002324,0.3596984903503431
C,Caco2_Wang,RMSE,0.5283772101848402,0.527886134485975,0.9742126108451911
C,Caco2_Wang,R2,0.5371479418632108,0.5384681475582179,0.9604465750308013
C,Lipophilicity_AstraZeneca,RMSE,0.9935914352185915,0.9497344751463306,0.27590327632225037
C,Lipophilicity_AstraZeneca,R2,0.3174741470645885,0.3764883658224081,0.27743998843357154
C,Solubility_AqSolDB,RMSE,1.474007626416633,1.4713045590879128,0.808694167486943
C,Solubility_AqSolDB,R2,0.6125059285684593,0.6139574433664073,0.8050653601529904
C,BBB_Martins,AUROC,0.8631447753930594,0.8789559157662235,0.06871217581756646
AB,Caco2_Wang,RMSE,0.5097861002757973,0.4315741335556337,0.03751113368237854
AB,Caco2_Wang,R2,0.569534592325811,0.6915464593259325,0.04317409765143693
AB,Lipophilicity_AstraZeneca,RMSE,0.879361020052638,0.8293156353571451,0.18721783159835134
AB,Lipophilicity_AstraZeneca,R2,0.465483382108511,0.5245083923079995,0.18475725425702688
AB,Solubility_AqSolDB,RMSE,1.3606376769431132,1.2068393525200396,0.14885344328179906
AB,Solubility_AqSolDB,R2,0.6696267569855866,0.7402696892153275,0.15637402332990832
AB,BBB_Martins,AUROC,0.8855940842221139,0.907345438130643,0.45151476975875915
AC,Caco2_Wang,RMSE,0.5183636721981275,0.47763990651693444,0.12415339486670268
AC,Caco2_Wang,R2,0.5547899667058049,0.6221730869356531,0.13273691387116981
AC,Lipophilicity_AstraZeneca,RMSE,0.8582884284074552,0.8799688807963071,0.01035228895316732
AC,Lipophilicity_AstraZeneca,R2,0.4907951172408748,0.46474688228541294,0.008042996889862007
AC,Solubility_AqSolDB,RMSE,1.2864422631651362,1.421417958601112,0.09546143929750925
AC,Solubility_AqSolDB,R2,0.7048683612590416,0.6396662597892926,0.0969335151356485
AC,BBB_Martins,AUROC,0.8913979578624107,0.9039205839901161,0.08303069555991997
ABC,Caco2_Wang,RMSE,0.4936854601918044,0.4229047307887537,0.023735050183856167
ABC,Caco2_Wang,R2,0.5963585429015985,0.7037797101189868,0.018154123607713884
ABC,Lipophilicity_AstraZeneca,RMSE,0.8426184882260117,0.8037103024051255,0.07710464090789401
ABC,Lipophilicity_AstraZeneca,R2,0.5092085445955354,0.553437668650979,0.07155806928057955
ABC,Solubility_AqSolDB,RMSE,1.248703965856175,1.134465155373125,0.15953441750548072
ABC,Solubility_AqSolDB,R2,0.7218521696401656,0.770477701564892,0.1628776904652512
ABC,BBB_Martins,AUROC,0.8910523538024577,0.9088684700577048,0.21318988045105297
