fold,task,model,score
0,Caco2_Wang,MTL,0.6918581208679236
0,Lipophilicity_AstraZeneca,MTL,1.1069078841253204
0,Solubility_AqSolDB,MTL,1.7109531451328641
0,BBB_Martins,MTL,0.8090227029133781
0,Caco2_Wang,STL,0.557870083007458
0,Lipophilicity_AstraZeneca,STL,0.9259685661561805
0,Solubility_AqSolDB,STL,1.3091772294862418
0,BBB_Martins,STL,0.8639773945240183
1,Caco2_Wang,MTL,0.7034181934125568
1,Lipophilicity_AstraZeneca,MTL,1.1054091661027494
1,Solubility_AqSolDB,MTL,1.68043815996712
1,BBB_Martins,MTL,0.8025267562565381
1,Caco2_Wang,STL,0.47362223549684057
1,Lipophilicity_AstraZeneca,STL,0.9157354365067203
1,Solubility_AqSolDB,STL,1.3108831412684125
1,BBB_Martins,STL,0.9003379737667981
2,Caco2_Wang,MTL,0.653316072562884
2,Lipophilicity_AstraZeneca,MTL,1.1155664565617684
2,Solubility_AqSolDB,MTL,1.7069670052106425
2,BBB_Martins,MTL,0.7509483513276919
2,Caco2_Wang,STL,0.5634847848493895
2,Lipophilicity_AstraZeneca,STL,0.8801032998077437
2,Solubility_AqSolDB,STL,1.3170216215936166
2,BBB_Martins,STL,0.8733768602276043
3,Caco2_Wang,MTL,0.6040182816511203
3,Lipophilicity_AstraZeneca,MTL,1.134423743177432
3,Solubility_AqSolDB,MTL,1.7564593902806565
3,BBB_Martins,MTL,0.7255859375
3,Caco2_Wang,STL,0.47661778540275035
3,Lipophilicity_AstraZeneca,STL,0.9222704863253383
3,Solubility_AqSolDB,STL,1.346612458226989
3,BBB_Martins,STL,0.8724320023148148
4,Caco2_Wang,MTL,0.7150537091804134
4,Lipophilicity_AstraZeneca,MTL,1.0945616672142306
4,Solubility_AqSolDB,MTL,1.7025888761089991
4,BBB_Martins,MTL,0.7155429828697155
4,Caco2_Wang,STL,0.5184582954635034
4,Lipophilicity_AstraZeneca,STL,0.9011773859851595
4,Solubility_AqSolDB,STL,1.2899207790678215
4,BBB_Martins,STL,0.8736916548797737
