Task,MTL_GNN,STL_GNN,XGBoost
cyp2c19_veith,0.9053624216254214,0.8764176462835229,0.7709686125110619
cyp2d6_veith,0.8713842222699321,0.8550981267923139,0.7382071493198791
cyp3a4_veith,0.8980200633400582,0.8830183634595588,0.7726170627286442
cyp1a2_veith,0.9377183608170053,0.9303654009979311,0.8463823729260476
cyp2c9_veith,0.9085707566007754,0.8817186565779437,0.8044347772302746
hia_hou,0.9880629408572978,0.9766684753119913,0.9137276180141075
pgp_broccatelli,0.9094940536182221,0.8928979372438353,0.8987435328898744
bbb_martins,0.8807555512832836,0.8463424012304142,0.8098144765932903
herg,0.8478664192949907,0.8495670995670995,0.744743351886209
dili,0.8324468085106382,0.8333333333333334,0.8040780141843972
