Task,MTL_GNN,STL_GNN,XGBoost
cyp2c19_veith,0.8887539148062837,0.8887501490607603,0.8926527166715831
cyp2d6_veith,0.8569239867196246,0.8406407666119707,0.865360322194789
cyp3a4_veith,0.8973156817199398,0.8831316888261866,0.8880854323973472
cyp1a2_veith,0.9320644319703054,0.9231103707760334,0.9344603793963734
cyp2c9_veith,0.8961935153304759,0.8817919624673847,0.8961026465716898
hia_hou,0.9489962018448181,0.9750406945198047,0.9864351600651112
pgp_broccatelli,0.9229993952832091,0.9105019149365048,0.9341530605388699
bbb_martins,0.8707584350668076,0.8626517991604986,0.8959434778429299
herg,0.7884972170686456,0.8466295609152752,0.825139146567718
dili,0.8138297872340425,0.8670212765957447,0.8838652482269503
