,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,hia_hou,pgp_broccatelli,bbb_martins,herg,dili
cyp2c19_veith,1.0,0.26,0.5,0.48,0.71,0.04,0.42,0.02,-0.14,0.15
cyp2d6_veith,0.26,1.0,0.27,0.23,0.13,0.06,0.36,0.37,0.53,-0.31
cyp3a4_veith,0.5,0.27,1.0,0.32,0.44,0.05,0.24,-0.09,0.25,0.25
cyp1a2_veith,0.48,0.23,0.32,1.0,0.32,0.1,0.04,0.25,0.19,0.5
cyp2c9_veith,0.71,0.13,0.44,0.32,1.0,0.08,0.17,-0.19,0.15,
hia_hou,0.04,0.06,0.05,0.1,0.08,1.0,,,,0.51
pgp_broccatelli,0.42,0.36,0.24,0.04,0.17,,1.0,0.08,0.21,-0.5
bbb_martins,0.02,0.37,-0.09,0.25,-0.19,,0.08,1.0,-0.28,0.01
herg,-0.14,0.53,0.25,0.19,0.15,,0.21,-0.28,1.0,-0.19
dili,0.15,-0.31,0.25,0.5,,0.51,-0.5,0.01,-0.19,1.0
