Task,MTL_GNN_CROSS,MTL_GNN,STL_GNN,XGBoost
hia_hou,0.9232230059685296,0.9343461747151384,0.8844275637547476,0.930005425935974
pgp_broccatelli,0.9323053147886851,0.9076799032453134,0.9128535913458308,0.8935698447893571
bbb_martins,0.8578134512480373,0.8770707167804159,0.8400621615559614,0.8652472043320837
cyp2c19_veith,0.9083502268861678,0.8972695206833573,0.8617758000640174,0.8621460983738257
cyp2d6_veith,0.8508502468984341,0.8621279271266236,0.83480472404116,0.837116521492432
cyp3a4_veith,0.8906993803748967,0.8845214514061507,0.868448589302764,0.8583670425404426
cyp1a2_veith,0.9238247180641759,0.9223234478317308,0.916711986836234,0.9044495532635592
cyp2c9_veith,0.9078063899827502,0.9062196229175592,0.8718368699606974,0.8652149046145294
herg,0.8337971552257267,0.8433828076685219,0.8257575757575758,0.8576066790352505
dili,0.8377659574468085,0.8302304964539007,0.7770390070921986,0.8417553191489362
skin_reaction,0.7206632653061225,0.6211734693877551,0.6741071428571428,0.7270408163265307
ames,0.8869133319621242,0.8764045371788133,0.8724899254214563,0.8735240456765012
clintox,0.8099724264705882,0.8048406862745098,0.7699908088235294,0.8804381127450982
