,hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
hia_hou,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
pgp_broccatelli,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
bbb_martins,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
cyp2c19_veith,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
cyp2d6_veith,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
cyp3a4_veith,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
cyp1a2_veith,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
cyp2c9_veith,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
herg,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
dili,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
skin_reaction,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
ames,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
clintox,0.26744086,0.5735804,0.6558719,0.90318465,0.78464806,0.87606585,0.8248102,0.8672551,0.57208914,0.46243405,0.6220799,0.9406724,0.48565695
