,hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
hia_hou,1.0,,,0.04,0.06,0.05,0.1,0.08,,0.51,,0.09,0.11
pgp_broccatelli,,1.0,0.08,0.42,0.36,0.24,0.04,0.17,0.21,-0.5,,-0.24,0.15
bbb_martins,,0.08,1.0,-0.04,0.37,-0.17,0.25,-0.25,-0.29,0.01,,0.08,-0.16
cyp2c19_veith,0.04,0.42,-0.04,1.0,0.26,0.5,0.48,0.71,-0.14,0.15,1.0,0.04,0.18
cyp2d6_veith,0.06,0.36,0.37,0.26,1.0,0.27,0.23,0.13,0.53,-0.31,1.0,-0.04,-0.14
cyp3a4_veith,0.05,0.24,-0.17,0.5,0.27,1.0,0.32,0.44,0.25,0.25,,0.16,0.12
cyp1a2_veith,0.1,0.04,0.25,0.48,0.23,0.32,1.0,0.32,0.19,0.5,0.5,0.04,
cyp2c9_veith,0.08,0.17,-0.25,0.71,0.13,0.44,0.32,1.0,0.15,,1.0,-0.0,0.14
herg,,0.21,-0.29,-0.14,0.53,0.25,0.19,0.15,1.0,-0.12,,0.08,-0.06
dili,0.51,-0.5,0.01,0.15,-0.31,0.25,0.5,,-0.12,1.0,-0.58,0.27,0.13
skin_reaction,,,,1.0,1.0,,0.5,1.0,,-0.58,1.0,0.26,
ames,0.09,-0.24,0.08,0.04,-0.04,0.16,0.04,-0.0,0.08,0.27,0.26,1.0,0.04
clintox,0.11,0.15,-0.16,0.18,-0.14,0.12,,0.14,-0.06,0.13,,0.04,1.0
