Task,sigma_final,weight_final
hia_hou,0.4113786220550537,5.909034991111476
pgp_broccatelli,0.6430120468139648,2.4185873720895263
bbb_martins,0.7102843523025513,1.9821453849102209
cyp2c19_veith,0.9124394059181213,1.2011353090503036
cyp2d6_veith,0.8052628636360168,1.542143038288255
cyp3a4_veith,0.8929464817047119,1.2541490083749014
cyp1a2_veith,0.8378314971923828,1.4245793143137295
cyp2c9_veith,0.8873068690299988,1.2701421042844254
herg,0.7424694299697876,1.8140232377219445
dili,0.7477048635482788,1.7887085743692575
skin_reaction,0.9258702397346497,1.1665403097842175
ames,0.9634563326835632,1.077298186364584
clintox,0.5586822628974915,3.2038356743470233
