Task,sigma_final,weight_final
hia_hou,0.42246368527412415,5.603007884562031
pgp_broccatelli,0.6881678104400635,2.1115982401220013
bbb_martins,0.7236295938491821,1.9097097295252572
cyp2c19_veith,0.9230160117149353,1.1737660133209595
cyp2d6_veith,0.8110812902450562,1.520096759834669
cyp3a4_veith,0.9026978015899658,1.227199671692791
cyp1a2_veith,0.8435848355293274,1.4052140119823613
cyp2c9_veith,0.8939154148101807,1.2514316866001536
herg,0.7671356201171875,1.6992438340989302
dili,0.7765853404998779,1.6581416324731866
skin_reaction,0.9323630332946777,1.150349764153371
ames,0.972878634929657,1.0565320301771803
clintox,0.5844191312789917,2.927865695573094
