,hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
hia_hou,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
pgp_broccatelli,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
bbb_martins,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
cyp2c19_veith,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
cyp2d6_veith,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
cyp3a4_veith,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
cyp1a2_veith,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
cyp2c9_veith,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
herg,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
dili,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
skin_reaction,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
ames,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
clintox,0.292175,0.60576427,0.6921565,0.92175484,0.8064378,0.90325195,0.8423071,0.8855526,0.5994276,0.53865445,0.6302626,0.9602763,0.53803927
