,hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
hia_hou,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
pgp_broccatelli,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
bbb_martins,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
cyp2c19_veith,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
cyp2d6_veith,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
cyp3a4_veith,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
cyp1a2_veith,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
cyp2c9_veith,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
herg,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
dili,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
skin_reaction,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
ames,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
clintox,0.30211252,0.3931689,0.4449683,0.7687614,0.6441555,0.71502304,0.6565415,0.73529625,0.48813158,0.41051155,0.44594216,0.7183957,0.44635758
