,hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
hia_hou,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
pgp_broccatelli,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
bbb_martins,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
cyp2c19_veith,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
cyp2d6_veith,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
cyp3a4_veith,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
cyp1a2_veith,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
cyp2c9_veith,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
herg,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
dili,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
skin_reaction,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
ames,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
clintox,0.2822338,0.598602,0.6570277,0.907483,0.79139537,0.8886557,0.827321,0.8709159,0.5759809,0.48263344,0.62378716,0.9451173,0.51926196
