Task,MTL_GNN,STL_GNN,XGBoost
bioavailability_ma,0.6988304093567251,0.69093567251462,0.7149122807017544
hia_hou,0.9777536625067824,0.9858925664677157,0.9864351600651111
pgp_broccatelli,0.9138614526641134,0.9135926896459047,0.9260229792380568
bbb_martins,0.8956550994905316,0.7966451985004326,0.8992758499150886
cyp2c9_veith,0.8926305436624385,0.8778120635531519,0.8968341782600694
cyp2d6_veith,0.8684911208575504,0.8444640502077934,0.865360322194789
cyp3a4_veith,0.8911655751465934,0.8840179339089176,0.8880854323973472
cyp2c9_substrate_carbonmangels,0.6680512287988923,0.7469712703357564,0.693319487712011
cyp2d6_substrate_carbonmangels,0.7340290955091714,0.6710942441492728,0.7656546489563567
cyp3a4_substrate_carbonmangels,0.5811984851860102,0.6012474938739141,0.5878814880819782
hERG_Karim,0.8790155105057428,0.8674852490321838,0.8955790245829179
ames,0.8715062732819892,0.8642883805257826,0.896329920546046
dili,0.8643617021276595,0.8351063829787234,0.8838652482269503
