Task,sigma_final,weight_final
hia_hou,0.3373611867427826,8.786375680506808
pgp_broccatelli,0.6013624668121338,2.7652051848725856
bbb_martins,0.6474363803863525,2.3856449067237953
cyp2c19_veith,0.8984802961349487,1.238747768767735
cyp2d6_veith,0.7822644710540771,1.6341532734967408
cyp3a4_veith,0.8826805949211121,1.2834910419940926
cyp1a2_veith,0.8191627860069275,1.490251512328612
cyp2c9_veith,0.8709753751754761,1.3182210639777283
herg,0.6837167739868164,2.1391809892170905
dili,0.6357918977737427,2.4738309670443646
skin_reaction,0.844228982925415,1.4030704712030906
ames,0.9361810684204102,1.1409859352223735
clintox,0.5124715566635132,3.807680219402566
