Task,sigma_final,weight_final
hia_hou,0.2462213933467865,16.494852287538208
pgp_broccatelli,0.29268771409988403,11.67322924145463
bbb_martins,0.273149311542511,13.402930930038488
cyp2c19_veith,0.6213871240615845,2.589855301963215
cyp2d6_veith,0.46688053011894226,4.587630942953887
cyp3a4_veith,0.5624674558639526,3.160859567491264
cyp1a2_veith,0.45183929800987244,4.89814908248901
cyp2c9_veith,0.5374323129653931,3.4622023798932235
herg,0.38673633337020874,6.686056607537302
dili,0.3181001543998718,9.882623270157303
skin_reaction,0.41798192262649536,5.7238072630055505
ames,0.48348748683929443,4.277889111119648
clintox,0.3121611177921295,10.262245162582612
