Task,MTL_GNN_VN,MTL_GNN,STL_GNN,XGBoost
hia_hou,0.9924036896364622,0.9848073792729246,0.9679869777536624,0.9137276180141076
pgp_broccatelli,0.9162131290734394,0.921050863401196,0.8974669085533831,0.8987435328898744
bbb_martins,0.8834150405331793,0.8775833894069018,0.8741869332564325,0.8129866384696721
cyp2c19_veith,0.8858756299778447,0.8988492509304531,0.8861765758075956,0.7726666499300199
cyp2d6_veith,0.8449298601420049,0.8694318460641935,0.834733798248708,0.7382071493198791
cyp3a4_veith,0.8731400559026569,0.9021540641394432,0.8659801999548056,0.7746067032972253
cyp1a2_veith,0.9230615644395764,0.9353018133138616,0.9284099782970264,0.8463823729260476
cyp2c9_veith,0.8884666164215883,0.909960514088094,0.8633658399136823,0.8044588307252473
herg,0.827612863327149,0.8119975262832405,0.8625541125541125,0.7493815708101422
dili,0.8945035460992907,0.8342198581560284,0.8745567375886525,0.7952127659574468
skin_reaction,0.7142857142857143,0.6741071428571428,0.701530612244898,0.7433035714285715
ames,0.8544575725026853,0.8748276466241592,0.8645854758476739,0.788877589109552
clintox,0.9020373774509804,0.8985140931372548,0.9141390931372548,0.8779871323529411
