Task,Metric,Score
ames,ROC-AUC,0.8607910742649053
bbb_martins,ROC-AUC,0.9230119634060521
bioavailability_ma,ROC-AUC,0.6953242835595776
cyp2c9_substrate_carbonmangels,ROC-AUC,0.6134453781512605
cyp2c9_veith,ROC-AUC,0.8961301665713556
cyp2d6_substrate_carbonmangels,ROC-AUC,0.807070707070707
cyp2d6_veith,ROC-AUC,0.8645627876397107
cyp3a4_substrate_carbonmangels,ROC-AUC,0.7173489278752436
cyp3a4_veith,ROC-AUC,0.8862157136215714
dili,ROC-AUC,0.9241622574955908
hERG_Karim,ROC-AUC,0.8803024832599792
hia_hou,ROC-AUC,0.9615384615384616
pgp_broccatelli,ROC-AUC,0.9326923076923077
