Task,ROC_AUC,PR_AUC,Samples
ames,0.8888854453182505,0.901385259733289,5084
bbb_martins,0.9458128078817734,0.9780800878717815,1400
bioavailability_ma,0.77526395173454,0.9283730556469111,448
cyp2c9_substrate_carbonmangels,0.7082833133253301,0.4571004309636362,468
cyp2c9_veith,0.882873812160074,0.7999801475025976,8465
cyp2d6_substrate_carbonmangels,0.8444444444444446,0.7661653726678757,464
cyp2d6_veith,0.8610965008400906,0.6936467667675573,9191
cyp3a4_substrate_carbonmangels,0.780701754385965,0.8560332801429688,469
cyp3a4_veith,0.8617381855924231,0.8276805597250911,8629
dili,0.9365079365079365,0.9393195868043583,332
hERG_Karim,0.8860216673348648,0.8756438549533352,9412
hia_hou,0.9775641025641025,0.9974270724965619,404
pgp_broccatelli,0.9255494505494506,0.9499479859466591,851
