Task,STL_ROC_AUC,STL_PRC_AUC,Samples
ames,0.8893038391508155,0.9082410908846441,5084
bbb_martins,0.942857142857143,0.9782381848481961,1400
bioavailability_ma,0.6953242835595776,0.900892240409659,448
cyp2c9_substrate_carbonmangels,0.5786314525810323,0.31500542995210246,468
cyp2c9_veith,0.9072237701826322,0.8131199563925642,8465
cyp2d6_substrate_carbonmangels,0.8525252525252526,0.7951775556361274,464
cyp2d6_veith,0.8975016436554899,0.7646606204169601,9191
cyp3a4_substrate_carbonmangels,0.8167641325536062,0.8767638572270912,469
cyp3a4_veith,0.9166315288724551,0.8967573033188542,8629
dili,0.8941798941798941,0.905524015237533,332
hERG_Karim,0.9162279079348695,0.9066793248982554,9412
hia_hou,0.9871794871794872,0.9985056435212245,404
pgp_broccatelli,0.9332417582417583,0.9520760817978062,851
