Task,STL_ROC_AUC,STL_PRC_AUC,Samples
ames,0.8778677410607059,0.9017287015422272,5084
bbb_martins,0.9266713581984518,0.9687596554003335,1400
bioavailability_ma,0.698340874811463,0.8819557718679809,448
cyp2c9_substrate_carbonmangels,0.5906362545018008,0.32264579506006313,468
cyp2c9_veith,0.8892738510956721,0.8030320638810045,8465
cyp2d6_substrate_carbonmangels,0.8454545454545455,0.7581130539190082,464
cyp2d6_veith,0.8710132222952737,0.7076332222128899,9191
cyp3a4_substrate_carbonmangels,0.8079922027290449,0.8691312130467433,469
cyp3a4_veith,0.9042954601969879,0.8745722900437437,8629
dili,0.9065255731922399,0.910070249818571,332
hERG_Karim,0.9028059885306216,0.8974774291504243,9412
hia_hou,0.9903846153846154,0.9988902589058399,404
pgp_broccatelli,0.9288461538461539,0.9425750568012763,851
