smiles,dipole,homo_lumo,electrons,energy,mask_1,mask_2,mask_3,mask_4
Cc1ncsc1CCCl,3.079,8.495000000000001,50.0,5.90758,1,1,1,1
O=C(O)P(=O)(O)O,1.781,9.878,42.0,-281.00918,1,1,1,1
NC[C@H](O)c1ccc(O)c(O)c1,2.906,8.864,66.0,-108.84762,1,1,1,1
NNc1nncc2ccccc12,4.664,7.893000000000001,60.0,88.14033,1,1,1,1
S=c1nc[nH]c2nc[nH]c12,4.471,7.004,50.0,81.81562,1,1,1,1
OCC(S)CS,2.271,8.548,38.0,-49.84415,1,1,1,1
O=c1[nH]cc(F)c(=O)[nH]1,3.945,9.128,48.0,-113.33609,1,1,1,1
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,3.469,8.748999999999999,82.0,-164.67369,1,1,1,1
NCC(O)c1cccc(O)c1,3.626,9.203,60.0,-69.15625,1,1,1,1
CN(C)C(=O)Oc1ccc[n+](C)c1,0.91,,,-49.52092,1,0,0,1
C#CCN(C)[C@H](C)Cc1ccccc1,1.92,9.148,74.0,72.7077,1,1,1,1
CCC1(c2cccc(O)c2)CCCCN(C)C1,2.116,8.732,94.0,-34.67042,1,1,1,1
NC(N)=NCCN1CCCCCCC1,0.897,9.894,82.0,1.60067,1,1,1,1
Nc1c2c(nc3ccccc13)CCCC2,3.972,8.008000000000001,76.0,30.80775,1,1,1,1
CN(C)CCC=C1c2ccccc2COc2ccccc21,2.6,8.672,108.0,19.2792,1,1,1,1
CNC1(c2ccccc2Cl)CCCCC1=O,2.239,9.145,86.0,-29.56699,1,1,1,1
CC(=O)N[C@@H](CS)C(=O)O,2.224,8.551,58.0,-143.69176,1,1,1,1
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.651,11.540000000000001,74.0,-290.22595,1,1,1,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.198,8.997,108.0,-99.13931,1,1,1,1
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,5.421,8.696,92.0,-116.61587,1,1,1,1
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,6.486,9.358,94.0,-248.28898,1,1,1,1
COC(=O)C(c1ccccc1)C1CCCCN1,0.88,9.208,92.0,-76.49543,1,1,1,1
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,2.996,10.936,72.0,-227.73425,1,1,1,1
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1.944,8.850999999999999,76.0,-159.26917,1,1,1,1
CC[N+](C)(C)c1cccc(O)c1,9.426,,,5.49013,1,0,0,1
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,3.698,8.632,110.0,-72.86278,1,1,1,1
C[C@@H]1O[C@@H]1P(=O)(O)O,3.786,10.165000000000001,48.0,-205.52653,1,1,1,1
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,3.525,8.229,110.0,-41.18606,1,1,1,1
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,2.543,8.439,114.0,-107.24821,1,1,1,1
Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,6.163,8.052,106.0,6.04,1,1,1,1
CN1CCN2c3ccccc3Cc3ccccc3C2C1,2.518,8.617,102.0,61.00369,1,1,1,1
C=CCc1ccccc1OCC(O)CNC(C)C,2.692,9.095,100.0,-67.73328,1,1,1,1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,4.655,8.522,102.0,-110.83064,1,1,1,1
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,2.764,9.246,90.0,-137.9621,1,1,1,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,2.517,9.005999999999998,128.0,-75.56229,1,1,1,1
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,2.988,8.482999999999999,126.0,-113.06997,1,1,1,1
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.726,7.365,104.0,50.00194,1,1,1,1
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,9.599,,,-27.94643,1,0,0,1
Clc1ccc2nsnc2c1NC1=NCCN1,3.555,6.7989999999999995,82.0,98.19077,1,1,1,1
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,4.833,7.906000000000001,134.0,3.68358,1,1,1,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,4.807,9.781,116.0,-114.65095,1,1,1,1
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,2.22,7.742999999999999,114.0,14.94515,1,1,1,1
CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,1.293,8.969,118.0,-113.06996,1,1,1,1
CN1CCOC(c2ccccc2)c2ccccc2C1,1.899,8.875,98.0,12.33934,1,1,1,1
CCN(CC)CC(=O)Nc1c(C)cccc1C,4.563,9.058,94.0,-48.17387,1,1,1,1
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,2.423,8.634,118.0,-90.31871,1,1,1,1
CC[N+](C)(C)Cc1ccccc1Br,2.427,,,30.38602,1,0,0,1
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,9.248,7.7170000000000005,140.0,-234.30617,1,1,1,1
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.714,9.241,94.0,-0.74616,1,1,1,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,1.045,10.3,114.0,-19.92697,1,1,1,1
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,4.398,8.523,108.0,-105.89931,1,1,1,1
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,2.247,8.873,114.0,-41.3268,1,1,1,1
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,3.201,7.97,156.0,-112.34525,1,1,1,1
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,5.853,9.361,170.0,-302.9338,1,1,1,1
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.852,7.779,130.0,-87.34409,1,1,1,1
